Match,TeamInnings,Name,Runs,Balls,Fours,Sixes,Strike_Rate,pos,Out_or_Notout,MatchId
Sri Lanka Vs Netherlands,Netherlands,Tom Cooper ,16,19,2,0,84.21,5,out,1835
Sri Lanka Vs Netherlands,Netherlands,Scott Edwards ,21,15,3,0,140.00,6,out,1835
Sri Lanka Vs Netherlands,Netherlands,Tim Pringle ,2,4,0,0,50.00,7,out,1835
Sri Lanka Vs Netherlands,Netherlands,Timm van der Gugten ,0,1,0,0,0.00,8,out,1835
Sri Lanka Vs Netherlands,Netherlands,Fred Klaassen ,3,3,0,0,100.00,9,out,1835
Sri Lanka Vs Netherlands,Netherlands,Paul van Meekeren ,0,0,0,0,-,10,out,1835
Sri Lanka Vs Netherlands,Netherlands,Roelof van der Merwe ,0,1,0,0,0.00,11,not out ,1835
U.A.E. Vs Namibia,U.A.E.,Muhammad Waseem ,50,41,1,3,121.95,1,out,1836
U.A.E. Vs Namibia,U.A.E.,Vriitya Aravind ,21,32,2,0,65.62,2,out,1836
U.A.E. Vs Namibia,U.A.E.,Chundangapoyil Rizwan ,43,29,3,1,148.27,3,not out ,1836
U.A.E. Vs Namibia,U.A.E.,Alishan Sharafu ,4,4,0,0,100.00,4,out,1836
U.A.E. Vs Namibia,U.A.E.,Basil Hameed ,25,14,2,2,178.57,5,not out ,1836
U.A.E. Vs Namibia,Namibia,Michael van Lingen ,10,8,1,0,125.00,1,out,1836
U.A.E. Vs Namibia,Namibia,Stephan Baard ,4,6,1,0,66.66,2,out,1836
U.A.E. Vs Namibia,Namibia,Jan Nicol Loftie Eaton ,1,6,0,0,16.66,3,out,1836
U.A.E. Vs Namibia,Namibia,Gerhard Erasmus ,16,18,2,0,88.88,4,out,1836
U.A.E. Vs Namibia,Namibia,Jan Frylinck ,14,17,1,0,82.35,5,out,1836
U.A.E. Vs Namibia,Namibia,JJ Smit ,3,3,0,0,100.00,6,out,1836
U.A.E. Vs Namibia,Namibia,David Wiese ,55,36,3,3,152.77,7,out,1836
U.A.E. Vs Namibia,Namibia,Zane Green ,2,3,0,0,66.66,8,out,1836
U.A.E. Vs Namibia,Namibia,Ruben Trumpelmann ,25,24,1,1,104.16,9,not out ,1836
U.A.E. Vs Namibia,Namibia,Bernard Scholtz ,1,1,0,0,100.00,10,not out ,1836
West Indies Vs Ireland,West Indies,Kyle Mayers ,1,5,0,0,20.00,1,out,1837
West Indies Vs Ireland,West Indies,Johnson Charles ,24,18,3,1,133.33,2,out,1837
West Indies Vs Ireland,West Indies,Evin Lewis ,13,18,0,0,72.22,3,out,1837
West Indies Vs Ireland,West Indies,Brandon King ,62,48,6,1,129.16,4,not out ,1837
West Indies Vs Ireland,West Indies,Nicholas Pooran ,13,11,0,1,118.18,5,out,1837
West Indies Vs Ireland,West Indies,Rovman Powell ,6,8,1,0,75.00,6,out,1837
West Indies Vs Ireland,West Indies,Odean Smith ,19,12,1,2,158.33,7,not out ,1837
West Indies Vs Ireland,Ireland,Paul Stirling ,66,48,6,2,137.50,1,not out ,1837
West Indies Vs Ireland,Ireland,Andy Balbirnie ,37,23,3,3,160.86,2,out,1837
West Indies Vs Ireland,Ireland,Lorcan Tucker ,45,35,2,2,128.57,3,not out ,1837
Scotland Vs Zimbabwe,Scotland,George Munsey ,54,51,7,0,105.88,1,out,1838
